Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL133694,,None,161.16,0,0.66,19,NC(=O)c1cccc2[nH]cnc12,Ki,'=',95,nM,7.02,,,UO_0000065,43.57,0.8,6.36,9.78,0,CHEMBL759581,In vitro inhibition against human full length PARP protein,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132951,1,Scientific Literature,J Med Chem,2000,None,,
CHEMBL338790,,None,212.21,0,1.31,4-amino-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL379251,,None,404.51,0,3.48,25,CCCN1CCCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,IC50,'=',10,nM,8,,,UO_0000065,19.78,0.36,4.52,11.5,0,CHEMBL862536,Inhibitory activity against PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138134,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL202313,,None,419.48,0,3.34,6,CCOC(=O)C1CCN(C(=O)c2cccc(Cc3nnc(O)c4ccccc34)c2)CC1,IC50,'=',15,nM,7.82,,,UO_0000065,18.65,0.34,4.48,8.45,0,CHEMBL862536,Inhibitory activity against PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138134,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL380648,,None,380.42,0,2.09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL560528,,None,391.42,0,1.59,25,O=C1NCCc2c1ccc1[nH]cc(CCNC(=O)N3CCCNC(F)(F)C3)c21,IC50,'=',390,nM,6.41,,,UO_0000065,16.37,0.31,4.82,7.18,0,CHEMBL1060805,Inhibition of PARP1 in human HeLa cells by microplate scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153049,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308376,,
CHEMBL123205,,None,164.21,0,0.85,15,CN(C)c1cccc(C(N)=O)c1,IC50,'=',120000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134673,1,Scientific Literature,J Med Chem,2001,None,,
CHEMBL133694,,None,161.16,0,0.66,8a,NC(=O)c1cccc2[nH]cnc12,Ki,'=',240,nM,6.62,,,UO_0000065,41.08,0.75,5.96,9.22,0,CHEMBL986586,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155103,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL517843,,None,272.35,0,1.9,9c,CC(C)(NCC1CC1)c1nc2c(C(N)=O)cccc2[nH]1,Ki,'=',7,nM,8.15,,,UO_0000065,29.94,0.56,6.25,9.73,0,CHEMBL986586,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155103,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL479777,,None,292.34,0,1.61,8s,NC(=O)c1cccc2[nH]c(C3(N)Cc4ccccc4C3)nc12,Ki,'=',58,nM,7.24,,,UO_0000065,24.75,0.45,5.63,7.4,0,CHEMBL986586,Inhibition of PARP1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1155103,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
